Date,Open,High,Low,Close,Volume
2015-01-02,24.67115267325441,24.68222757163672,23.776355295274307,24.214895248413086,212818400
2015-01-05,23.984549003434232,24.064283533005238,23.34667445665828,23.5327205657959,257142000
2015-01-06,23.59695036493737,23.794071364016485,23.173914310644687,23.534934997558594,263188400
2015-01-07,23.743133053101715,23.964617509529127,23.632390824888006,23.86495018005371,160423600
2015-01-08,24.192746932459276,24.8394811133024,24.075358755914475,24.78189468383789,237458000
2015-01-09,24.954648607400006,25.083109973520873,24.409797149823067,24.808469772338867,214798000
2015-01-12,24.939150509382685,24.94579477298944,24.097510553276788,24.19717788696289,198603200
2015-01-13,24.680006107009795,24.983440335311546,24.1218661772764,24.412010192871094,268367600
2015-01-14,24.150658281810262,24.471809973965815,24.03105650747729,24.318986892700195,195826400
2015-01-15,24.363288563314725,24.376577089070306,23.623531339856147,23.658967971801758,240056000
2015-01-16,23.7054875325712,23.82730469257329,23.300170461792717,23.475143432617188,314053200
2015-01-20,23.884875146679487,24.135153581932286,23.588086883378335,24.079782485961914,199599600
2015-01-21,24.13073405530058,24.598066455586036,23.98012453734423,24.263626098632812,194303600
2015-01-22,24.420875112620685,24.91035552795961,24.301273310849446,24.894851684570312,215185600
2015-01-23,24.87270782278486,25.19385964342137,24.70216382660714,25.023317337036133,185859200
2015-01-26,25.191640428521755,25.32896139344122,24.983446198227874,25.049890518188477,222460000
2015-01-27,24.899282161527914,24.91257237795925,24.14844999016091,24.172813415527344,382274800
2015-01-28,26.05321340320937,26.161741992686807,25.539369583129883,25.539369583129883,585908400
2015-01-29,25.763065385875084,26.398726223321972,25.59473676843629,26.334495544433594,337745600
2015-01-30,26.223750181346066,26.57812484127135,25.880448726229645,25.94911003112793,334982000
2015-02-02,26.146240465741013,26.39430197270769,25.709915821075615,26.274700164794922,250956400
2015-02-03,26.24590602450807,26.376581032432806,26.048785008958852,26.279129028320312,207662800
2015-02-04,26.24590559753552,26.691089785876024,26.20382301407181,26.48067855834961,280598800
2015-02-05,26.68746512419882,26.734161899810683,26.51624983397766,26.669677734375,168984800
2015-02-06,26.68747654900368,26.738619769850555,26.338373639409618,26.445106506347656,174826400
2015-02-09,26.36060659155632,26.64744762610821,26.33392295502217,26.620765686035156,155559200
